annotation,SYMBOL
immune system process,TRBV20OR9-2
adaptive immune response,IGKV3-7
adaptive immune response,IGKV1D-42
adaptive immune response,IGLV4-69
adaptive immune response,IGLV8-61
adaptive immune response,IGLV4-60
adaptive immune response,IGLV11-55
adaptive immune response,IGLV10-54
adaptive immune response,IGLV1-50
adaptive immune response,IGLV5-48
adaptive immune response,IGLV7-46
adaptive immune response,IGLV5-37
adaptive immune response,IGLV2-33
adaptive immune response,IGLV3-22
adaptive immune response,IGLV2-18
adaptive immune response,IGLV3-16
adaptive immune response,IGLV3-12
adaptive immune response,IGLV3-10
adaptive immune response,IGLV3-9
adaptive immune response,IGLV4-3
adaptive immune response,TRGV11
adaptive immune response,TRBV7-3
adaptive immune response,TRBV19
adaptive immune response,TRBV20-1
adaptive immune response,TRBV24-1
adaptive immune response,TRBV25-1
adaptive immune response,IGKV2-28
adaptive immune response,TRGV2
innate immune response,TRGV2
adaptive immune response,IGKV2D-24
adaptive immune response,TRGJ1
adaptive immune response,IGKV2D-29
adaptive immune response,IGKV1D-17
adaptive immune response,IGKV1-27
adaptive immune response,IGKV2D-30
adaptive immune response,IGKV1-37
adaptive immune response,TRAV12-2
adaptive immune response,TRAV6
adaptive immune response,TRAV9-1
adaptive immune response,TRAV7
adaptive immune response,TRAV8-7
adaptive immune response,TRAV36DV7
adaptive immune response,TRAV23DV6
adaptive immune response,TRAV18
adaptive immune response,TRAJ3
adaptive immune response,TRAJ42
adaptive immune response,TRAJ31
adaptive immune response,TRDJ1
regulation of transcription by RNA polymerase II,PPIAL4E
regulation of transcription by RNA polymerase II,PPIAL4H
adaptive immune response,IGLV5-45
adaptive immune response,IGKV3D-15
adaptive immune response,IGKV1D-8
adaptive immune response,TRAV30
adaptive immune response,TRAV27
immune response,TRAV27
defense response to Gram-positive bacterium,TRAV27
adaptive immune response,TRAV9-2
adaptive immune response,TRAV26-1
adaptive immune response,TRBV16
adaptive immune response,IGKV2-40
male meiosis chromosome segregation,MEIKIN
meiotic sister chromatid cohesion involved in meiosis I,MEIKIN
female meiosis chromosome segregation,MEIKIN
homologous chromosome segregation,MEIKIN
"meiotic sister chromatid cohesion, centromeric",MEIKIN
immune system process,TRBV15
adaptive immune response,TRBV17
adaptive immune response,TRBV18
xenobiotic metabolic process,CYP2D7
xenobiotic catabolic process,CYP2D7
xenobiotic metabolic process,CYP2D7
xenobiotic catabolic process,CYP2D7
defense response to bacterium,DEFB131B
innate immune response,DEFB131B
microtubule anchoring,CCDC187
G protein-coupled receptor signaling pathway,OR4N4C
detection of chemical stimulus involved in sensory perception of smell,OR4N4C
adaptive immune response,IGKV2D-26
adaptive immune response,IGKV3D-11
adaptive immune response,IGLV5-52
adaptive immune response,IGLV3-32
adaptive immune response,TRGV10
adaptive immune response,TRGV1
adaptive immune response,TRBV5-3
adaptive immune response,TRBV6-7
adaptive immune response,TRBV5-7
adaptive immune response,TRBV23-1
adaptive immune response,IGKV6D-21
adaptive immune response,TRBJ2-6
adaptive immune response,IGLJ1
adaptive immune response,TRBJ2-7
adaptive immune response,TRBJ2-4
adaptive immune response,IGKJ1
adaptive immune response,TRBJ2-2
adaptive immune response,TRBJ2-5
adaptive immune response,TRBJ2-1
adaptive immune response,TRAV14DV4
adaptive immune response,TRBV13
adaptive immune response,TRBV6-6
adaptive immune response,TRBV6-8
adaptive immune response,TRAV8-3
adaptive immune response,TRAV8-1
adaptive immune response,TRBV7-1
adaptive immune response,TRAV16
adaptive immune response,TRAV19
adaptive immune response,IGLV1-36
adaptive immune response,TRGV5
innate immune response,TRGV5
adaptive immune response,TRBV9
adaptive immune response,IGLV9-49
adaptive immune response,IGKV1D-43
adaptive immune response,TRBJ2-3
adaptive immune response,TRAV2
adaptive immune response,TRAV13-2
adaptive immune response,TRAV8-2
adaptive immune response,TRAV1-2
adaptive immune response,TRAV10
adaptive immune response,TRAV13-1
adaptive immune response,TRAV3
adaptive immune response,TRAV12-1
adaptive immune response,TRAV1-1
adaptive immune response,TRAV5
adaptive immune response,TRAV8-6
adaptive immune response,TRAV39
adaptive immune response,TRAV38-1
adaptive immune response,TRAV26-2
adaptive immune response,TRAV41
adaptive immune response,TRAV4
adaptive immune response,TRAV12-3
adaptive immune response,TRAV24
adaptive immune response,TRAV34
adaptive immune response,TRAV20
adaptive immune response,TRAV17
adaptive immune response,TRAV25
adaptive immune response,TRAV22
adaptive immune response,TRAV21
adaptive immune response,TRAV40
regulation of transcription by RNA polymerase II,PPIAL4C
adaptive immune response,IGKV1D-13
adaptive immune response,TRBV12-4
response to unfolded protein,PIGBOS1
adaptive immune response,IGKV6-21
adaptive immune response,IGKV3D-20
adaptive immune response,IGKV6D-41
adaptive immune response,TRGV8
innate immune response,TRGV8
adaptive immune response,TRGV4
innate immune response,TRGV4
adaptive immune response,IGKV3D-7
