annotation,SYMBOL
cytosol,NUDT4B
extracellular region,IGKV3-7
plasma membrane,IGKV3-7
extracellular region,IGKV1D-42
plasma membrane,IGKV1D-42
extracellular region,IGLV4-69
plasma membrane,IGLV4-69
extracellular region,IGLV8-61
plasma membrane,IGLV8-61
extracellular region,IGLV4-60
plasma membrane,IGLV4-60
extracellular region,IGLV11-55
plasma membrane,IGLV11-55
extracellular region,IGLV10-54
plasma membrane,IGLV10-54
extracellular region,IGLV1-50
plasma membrane,IGLV1-50
extracellular region,IGLV5-48
plasma membrane,IGLV5-48
extracellular region,IGLV7-46
plasma membrane,IGLV7-46
extracellular region,IGLV5-37
plasma membrane,IGLV5-37
extracellular region,IGLV2-33
plasma membrane,IGLV2-33
extracellular region,IGLV3-22
plasma membrane,IGLV3-22
extracellular region,IGLV2-18
plasma membrane,IGLV2-18
extracellular region,IGLV3-16
plasma membrane,IGLV3-16
extracellular region,IGLV3-12
plasma membrane,IGLV3-12
extracellular region,IGLV3-10
plasma membrane,IGLV3-10
extracellular region,IGLV3-9
plasma membrane,IGLV3-9
extracellular region,IGLV4-3
plasma membrane,IGLV4-3
T cell receptor complex,TRGV11
T cell receptor complex,TRBV7-3
alpha-beta T cell receptor complex,TRBV19
T cell receptor complex,TRBV20-1
T cell receptor complex,TRBV24-1
T cell receptor complex,TRBV25-1
extracellular region,IGKV2-28
extracellular region,IGKV2-28
extracellular region,IGKV2-28
extracellular region,IGKV2-28
extracellular region,IGKV2-28
extracellular region,IGKV2-28
extracellular region,IGKV2-28
extracellular region,IGKV2-28
extracellular region,IGKV2-28
extracellular region,IGKV2-28
extracellular region,IGKV2-28
extracellular region,IGKV2-28
extracellular region,IGKV2-28
extracellular region,IGKV2-28
extracellular region,IGKV2-28
extracellular region,IGKV2-28
extracellular region,IGKV2-28
extracellular region,IGKV2-28
extracellular region,IGKV2-28
extracellular region,IGKV2-28
extracellular region,IGKV2-28
extracellular region,IGKV2-28
extracellular region,IGKV2-28
extracellular region,IGKV2-28
extracellular region,IGKV2-28
extracellular region,IGKV2-28
extracellular region,IGKV2-28
extracellular region,IGKV2-28
extracellular region,IGKV2-28
extracellular region,IGKV2-28
extracellular region,IGKV2-28
extracellular region,IGKV2-28
extracellular region,IGKV2-28
extracellular region,IGKV2-28
extracellular region,IGKV2-28
extracellular region,IGKV2-28
extracellular region,IGKV2-28
extracellular region,IGKV2-28
extracellular region,IGKV2-28
extracellular region,IGKV2-28
extracellular region,IGKV2-28
extracellular region,IGKV2-28
extracellular region,IGKV2-28
extracellular region,IGKV2-28
extracellular region,IGKV2-28
extracellular region,IGKV2-28
extracellular region,IGKV2-28
extracellular region,IGKV2-28
extracellular region,IGKV2-28
extracellular region,IGKV2-28
extracellular region,IGKV2-28
extracellular region,IGKV2-28
extracellular region,IGKV2-28
