annotation,SYMBOL
RNA binding,NUDT4B
protein binding,NUDT4B
metal ion binding,NUDT4B
protein binding,TRAV27
zinc ion binding,ZNF892
aromatase activity,CYP2D7
iron ion binding,CYP2D7
aromatase activity,CYP2D7
calcium ion binding,NOTCH2NLR
protein binding,SMIM26
protein binding,SMIM26
protein kinase binding,SMIM26
transmembrane transporter binding,SMIM26
microtubule binding,CCDC187
G protein-coupled receptor activity,OR4N4C
MHC protein binding,TRAV19
peptide antigen binding,TRAV19
protein binding,PIGBOS1
protein binding,PIGBOS1
DNA binding,MT-RNR1
GTPase activity,LOC107984156
G protein-coupled receptor activity,LOC124905359
zinc ion binding,TEX13C
zinc ion binding,TEX13D
protein homodimerization activity,CD300H
protein binding,CD300H
glycine N-acyltransferase activity,GLYATL1B
protein binding,DPEP2NB
protein binding,DPEP2NB
protein binding,DPEP2NB
protein binding,DPEP2NB
protein binding,DPEP2NB
protein binding,DPEP2NB
protein binding,DPEP2NB
protein binding,DPEP2NB
zinc ion binding,KLF18
carbon-sulfur lyase activity,CENPVL1
metal ion binding,CENPVL1
protein binding,NBDY
protein binding,NBDY
protein binding,NBDY
carbon-sulfur lyase activity,CENPVL3
metal ion binding,CENPVL3
G protein-coupled receptor activity,OR4M2B
structural molecule activity,LOC100653049
ATPase binding,TUNAR
ATPase binding,TUNAR
zinc ion binding,ZNF475
iron ion binding,A0A1B0GTQ1
DNA-binding transcription factor activity,HSFX4
sequence-specific DNA binding,HSFX4
zinc ion binding,ZC3H11B
metalloendopeptidase activity,CIROP
metal ion binding,CIROP
ATP binding,UBE2L5
ligase activity,UBE2L5
protein binding,TEX48
protein binding,TEX48
protein binding,TEX48
small molecule binding,LOC102723971
serine-type endopeptidase activity,PRSS51
"DNA-binding transcription factor activity, RNA polymerase II-specific",HSFX3
sequence-specific DNA binding,HSFX3
calcium ion binding,PVALEF
protein heterodimerization activity,TAF11L5
oxidoreductase activity,KDM4F
metal ion binding,KDM4F
protein heterodimerization activity,TAF11L4
protein heterodimerization activity,TAF11L13
protein heterodimerization activity,TAF11L14
protein heterodimerization activity,TAF11L12
protein heterodimerization activity,TAF11L11
myosin phosphatase activity,SSU72L1
calmodulin-dependent protein phosphatase activity,SSU72L1
myosin phosphatase activity,SSU72L5
calmodulin-dependent protein phosphatase activity,SSU72L5
sequence-specific DNA binding,ERFL
myosin phosphatase activity,SSU72L4
calmodulin-dependent protein phosphatase activity,SSU72L4
myosin phosphatase activity,SSU72L2
calmodulin-dependent protein phosphatase activity,SSU72L2
myosin phosphatase activity,SSU72L3
calmodulin-dependent protein phosphatase activity,SSU72L3
zinc ion binding,ZNF722
protein heterodimerization activity,TAF11L9
myosin phosphatase activity,SSU72L6
calmodulin-dependent protein phosphatase activity,SSU72L6
protein heterodimerization activity,LINC02218
protein heterodimerization activity,TAF11L3
G protein-coupled receptor activity,OR1R1P
molecular_function,SMIM44
molecular_function,C8orf90
RNA binding,HNRNPA1L3
G protein-coupled receptor activity,OR5D3P
zinc ion binding,LOC122513141
DNA binding,H2BK1
structural constituent of chromatin,H2BK1
protein heterodimerization activity,H2BK1
G protein-coupled receptor activity,OR5BS1
G protein-coupled receptor activity,LOC112268384
guanyl-nucleotide exchange factor activity,LOC107987545
RNA binding,MCTS2
protein binding,POLGARF
zinc ion binding,TRIM51G
G protein-coupled receptor activity,OR51C1
DNA binding,H2AL3
protein heterodimerization activity,H2AL3
protein binding,LINC-PINT
protein binding,LINC-PINT
protein binding,LINC-PINT
guanyl-nucleotide exchange factor activity,ARHGEF18
zinc ion binding,ARHGEF18
peptide antigen binding,TRBV28
DNA binding,NFILZ
DNA-binding transcription factor activity,NFILZ
zinc ion binding,RNF228
protein binding,AQP5-AS1
protein binding,AQP5-AS1
zinc ion binding,LOC122539214
protein binding,HAPSTR2
ubiquitin protein ligase binding,HAPSTR2
laminin receptor activity,RPSA2
laminin binding,RPSA2
zinc ion binding,ZKSCAN8P1
adenylate kinase activity,AK4P3
ATP binding,AK4P3
GTP binding,AK4P3
nucleoside triphosphate adenylate kinase activity,AK4P3
DNA binding,H2AL1Q
protein heterodimerization activity,H2AL1Q
structural constituent of ribosome,A0AAG2SUK6
serine-type endopeptidase inhibitor activity,A0AAG2SWI5
creatine:sodium symporter activity,A0AAG2SWV4
metal ion binding,A0AAG2SWV4
proline dehydrogenase activity,A0AAG2SXN7
structural constituent of ribosome,LOC102723573
zinc ion binding,A0AAG2TU59
actin binding,A0AAG2TVC3
alpha-tubulin binding,A0AAG2TVC3
nucleic acid binding,NKRF
DNA binding,A0AAQ5BHU3
RNA-directed DNA polymerase activity,A0AAQ5BHU3
RNA-DNA hybrid ribonuclease activity,A0AAQ5BHU3
structural molecule activity,A0AAQ5BHU3
zinc ion binding,A0AAQ5BHU3
nucleic acid binding,LOC124906262
structural molecule activity,LOC124906262
zinc ion binding,LOC124906262
protein binding,SLC12A8
RNA binding,RBM47
RNA binding,RBM47
RNA binding,RBM47
RNA binding,RBM47
mRNA 3'-UTR binding,RBM47
protein binding,RBM47
protein binding,RBM47
protein binding,RBM47
protein binding,RBM47
protein binding,RBM47
protein binding,RBM47
protein binding,RBM47
protein binding,RBM47
protein binding,RBM47
protein binding,RBM47
protein binding,RBM47
protein binding,RBM47
protein binding,RBM47
enzyme binding,RBM47
protein binding,TMEM129
protein binding,TMEM129
protein binding,TMEM129
zinc ion binding,TMEM129
ubiquitin protein ligase activity,TMEM129
ubiquitin protein ligase activity,TMEM129
ubiquitin protein ligase activity,TMEM129
RNA polymerase II cis-regulatory region sequence-specific DNA binding,E2F8
"DNA-binding transcription factor activity, RNA polymerase II-specific",E2F8
cis-regulatory region sequence-specific DNA binding,E2F8
DNA-binding transcription repressor activity,E2F8
"DNA-binding transcription repressor activity, RNA polymerase II-specific",E2F8
DNA-binding transcription factor activity,E2F8
protein binding,E2F8
protein binding,E2F8
protein binding,E2F8
protein binding,E2F8
protein binding,E2F8
protein binding,E2F8
protein binding,E2F8
protein binding,E2F8
protein binding,E2F8
protein binding,E2F8
protein binding,E2F8
protein binding,E2F8
protein binding,E2F8
protein binding,E2F8
protein binding,E2F8
protein binding,E2F8
protein binding,E2F8
protein binding,E2F8
protein binding,E2F8
protein binding,E2F8
identical protein binding,E2F8
protein binding,UBA6
protein binding,UBA6
protein binding,UBA6
ATP binding,UBA6
FAT10 activating enzyme activity,UBA6
calcium ion binding,ESYT2
protein binding,ESYT2
protein binding,ESYT2
protein binding,ESYT2
protein binding,ESYT2
protein binding,ESYT2
protein binding,ESYT2
calcium-dependent phospholipid binding,ESYT2
phosphatidylethanolamine binding,ESYT2
phosphatidylcholine binding,ESYT2
