,OR,pval,p_adj,genes,source
keratin filament,12.76400096254111,5.958084963922842e-25,4.0854588597618925e-21,"KRT10, KRT13, KRT14, KRT16, KRT25, KRT36, KRT9, KRTAP1-1, KRTAP1-3, KRTAP1-4, KRTAP1-5, KRTAP16-1, KRTAP2-1, KRTAP2-2, KRTAP2-3, KRTAP2-4, KRTAP3-1, KRTAP3-2, KRTAP3-3, KRTAP4-1, KRTAP4-11, KRTAP4-12, KRTAP4-2, KRTAP4-3, KRTAP4-4, KRTAP4-5, KRTAP4-6, KRTAP4-7, KRTAP4-8, KRTAP4-9, KRTAP9-1, KRTAP9-2, KRTAP9-3, KRTAP9-4, KRTAP9-6, KRTAP9-7, KRTAP9-8, KRTAP9-9",Pure_NetAn_GO
intermediate filament organization,14.08500731994144,1.1718310396347878e-19,4.01762271938787e-16,"GFAP, KRT10, KRT12, KRT13, KRT14, KRT15, KRT16, KRT17, KRT19, KRT20, KRT23, KRT24, KRT25, KRT26, KRT27, KRT28, KRT31, KRT32, KRT33A, KRT33B, KRT34, KRT35, KRT36, KRT37, KRT38, KRT39, KRT40, KRT9",Pure_NetAn_GO
epithelial cell differentiation,9.361416060194893,1.2111374690494267e-16,2.768256541757306e-13,"ACADVL, DLX3, KRT10, KRT12, KRT13, KRT14, KRT15, KRT16, KRT17, KRT19, KRT20, KRT23, KRT24, KRT25, KRT26, KRT27, KRT28, KRT31, KRT32, KRT33A, KRT33B, KRT34, KRT35, KRT36, KRT37, KRT38, KRT39, KRT40, KRT9",Pure_NetAn_GO
intermediate filament,5.937670944666526,9.677195631228466e-12,1.65891326108334e-08,"GFAP, JUP, KRT10, KRT12, KRT14, KRT15, KRT16, KRT17, KRT19, KRT20, KRT222, KRT23, KRT24, KRT26, KRT27, KRT28, KRT31, KRT32, KRT33A, KRT33B, KRT34, KRT35, KRT37, KRT38, KRT39, KRT40, KRTAP17-1",Pure_NetAn_GO
hair cycle,53.18895643363729,2.9651562202317785e-11,4.066415240425861e-08,"KRT14, KRT16, KRT25, KRT33B, KRTAP4-3, KRTAP4-5, KRTAP4-7, KRTAP4-8, KRTAP4-9, PTCH2",Pure_NetAn_GO
structural molecule activity,4.119247261541704,1.5973441897999789e-09,1.8254981849097425e-06,"CLDN7, CRYAB, CTNNA1, JUP, KRT12, KRT13, KRT17, KRT222, KRT23, KRT24, KRT25, KRT26, KRT27, KRT28, KRT32, KRT33A, KRT33B, KRT34, KRT35, KRT37, KRT38, KRT39, KRT40, KRTAP16-1, KRTAP3-1, KRTAP3-2, KRTAP3-3, SEPTIN4, TUBG2, VPS25",Pure_NetAn_GO
CCR chemokine receptor binding,13.289640324214792,9.559206006102071e-08,9.363925083405985e-05,"CCL14, CCL15, CCL16, CCL18, CCL23, CCL3, CCL3L1, CCL4, CCL4L1, CCL5",Pure_NetAn_GO
four-way junction DNA binding,15.934463562753036,1.3965305382740062e-07,0.00011970012376181075,"BLM, FANCM, MEN1, MSH2, MSH6, RAD51C, RAD51D, WRN, XRCC2",Pure_NetAn_GO
double-strand break repair via homologous recombination,4.602634793805923,1.598805304397412e-07,0.00012181119969170058,"ATM, BLM, BRCA1, BRCA2, ERCC4, KDM4D, MBTD1, MRE11, NBN, PALB2, RAD50, RAD51, RAD51C, RAD51D, RECQL, RECQL4, SLX4, SPIDR, WRN, XRCC2",Pure_NetAn_GO
"chromosome, telomeric region",3.7023815685375645,3.52016936677728e-07,0.0002413780134799181,"ATM, ATR, BLM, BRCA2, CBX1, CDC73, CHEK2, CTC1, ERCC4, EZH1, MEN1, MRE11, MSH2, NBN, POLD1, POT1, RAD50, RAD51, RAD51D, RECQL4, SLX4, THOC5, WRAP53, WRN",Pure_NetAn_GO
